,2016,2017,2018,2019
stata,1.0,0.6470588235294118,0.8,0.9090909090909091
r,0.0,0.029411764705882353,0.0,0.0
both,0.0,0.08823529411764706,0.03333333333333333,0.09090909090909091
neither,0.0,0.23529411764705882,0.16666666666666666,0.0
