,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
stata,0.8333333333333334,0.7777777777777778,0.7058823529411765,0.575,0.6363636363636364,0.8823529411764706,0.6,0.5714285714285714,0.6477272727272727,0.3333333333333333
r,0.0,0.0,0.0,0.075,0.0,0.058823529411764705,0.2,0.07142857142857142,0.1590909090909091,0.2222222222222222
both,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.12,0.21428571428571427,0.11363636363636363,0.1111111111111111
neither,0.16666666666666666,0.2222222222222222,0.29411764705882354,0.35,0.36363636363636365,0.029411764705882353,0.08,0.14285714285714285,0.07954545454545454,0.3333333333333333
