,2010,2016,2017,2018,2019
stata,1.0,0.582089552238806,0.16666666666666666,0.8,1.0
r,0.0,0.07462686567164178,0.16666666666666666,0.2,0.0
both,0.0,0.014925373134328358,0.0,0.0,0.0
neither,0.0,0.3283582089552239,0.6666666666666666,0.0,0.0
