,ajps,jop,the_review
stata,0.13036303630363036,0.16295636687444345,0.12877442273534637
r,0.12706270627062707,0.13624220837043632,0.10746003552397869
jags,0,0.0008904719501335708,0
spss,0.01155115511551155,0.0008904719501335708,0
other,0.731023102310231,0.699020480854853,0.763765541740675
