journal,command,n
jop,sutex,2
jop,sureg,2
jop,return,2
jop,spec,2
jop,specIK,2
jop,maketab,2
jop,unique,2
jop,xtgls,2
jop,xtscc,2
jop,graphregion,2
jop,ytitle,2
jop,hausman,2
jop,metan,2
jop,sc,2
jop,omscore,2
jop,heckman,2
jop,gr_edit,2
jop,codebook,2
jop,dynsim,2
jop,dynsim_pcse,2
jop,ebalance,2
jop,misstable,2
jop,st_view,2
jop,xtdes,1
jop,fillin,1
jop,centile,1
jop,tsfill,1
jop,xtdescribe,1
jop,Sudan,1
jop,Jordan,1
jop,China,1
jop,constraint,1
jop,makefig,1
jop,DCdensity,1
jop,sutex2,1
jop,spearman,1
jop,jive,1
jop,close_wrk_vars,1
jop,bypidstudy1,1
jop,pid2cat_vars,1
jop,bypidstudy2,1
jop,pid2cat_vars_study2,1
jop,bypidstudy3,1
jop,pid2cat_vars_study3,1
jop,scalars,1
jop,prefix,1
jop,addnotes,1
jop,interflex,1
jop,av_log_oil,1
jop,cluster,1
jop,saveold,1
jop,heckprob,1
jop,drawnorm,1
jop,mac,1
jop,getaggs,1
jop,stack,1
jop,tsfilter,1
jop,btests,1
jop,export_amce,1
jop,xi,1
jop,photo_district,1
jop,xtabond,1
jop,decode,1
jop,xttest3,1
jop,xtserial,1
jop,byhist,1
jop,vif,1
jop,ipfraking,1
jop,marksample,1
jop,function,1
jop,nr,1
jop,nc,1
jop,wgtst,1
jop,wgtstdM,1
jop,wgtdmeans,1
jop,wgtdmeandevs,1
jop,wgtdstds,1
jop,Xs,1
jop,invS,1
jop,ivec,1
jop,indexout_sc,1
jop,indexout,1
jop,st_addvar,1
jop,st_store,1
jop,leb_pf_marg_netw_nocont,1
jop,leb_pf_marg_netw_cont,1
jop,labmask,1
jop,outsum,1
jop,sfrancia,1
jop,compress,1
jop,include,1
the_review,generate,1585
the_review,replace,1296
the_review,egen,893
the_review,local,890
the_review,estadd,864
the_review,regress,766
the_review,drop,724
the_review,tabulate,488
the_review,label,434
the_review,matrix,433
the_review,summarize,431
the_review,foreach,376
the_review,use,288
the_review,estimates,284
the_review,if,282
the_review,areg,260
the_review,fre,229
the_review,esttab,220
the_review,graph,211
the_review,margins,199
the_review,rename,185
the_review,global,180
the_review,set,169
the_review,logit,158
the_review,estsimp,151
the_review,ttest,148
the_review,setx,132
the_review,simqi,132
the_review,recode,125
the_review,dprobit,119
the_review,keep,117
the_review,eststo,113
the_review,clear,111
the_review,scalar,106
the_review,xtreg,104
the_review,display,91
the_review,forvalues,90
the_review,sort,90
the_review,twoway,87
the_review,save,85
the_review,predict,85
the_review,outreg2,78
the_review,append,77
the_review,cgmwildboot,72
the_review,xtivreg2,69
the_review,merge,64
the_review,test,59
the_review,psmatch2,54
the_review,preserve,53
the_review,cd,51
the_review,restore,51
the_review,do,49
the_review,coefplot,47
the_review,estat,46
the_review,collapse,45
the_review,erase,44
the_review,tsset,41
the_review,marginsplot,41
the_review,histogram,41
the_review,xtmixed,39
the_review,estpost,37
the_review,probit,36
the_review,estout,35
the_review,parmest,33
the_review,quietly,32
the_review,rdrobust,32
the_review,meologit,30
the_review,alpha,29
the_review,run,29
the_review,mixed,28
the_review,tempfile,28
the_review,saveold,25
the_review,reghdfe,25
the_review,xtset,22
the_review,insheet,22
the_review,svmat,22
the_review,xtmelogit,22
the_review,program,20
the_review,else,20
the_review,lincom,18
the_review,eclplot,18
the_review,confirm,18
the_review,melogit,17
the_review,log,15
the_review,format,14
the_review,tlogit,13
the_review,reshape,13
the_review,end,12
the_review,encode,12
the_review,ttesti,12
the_review,count,11
the_review,version,10
the_review,tempname,10
the_review,centile,10
the_review,duplicates,10
the_review,teffects,10
the_review,glm,10
the_review,destring,10
the_review,ssc,9
the_review,correlate,9
the_review,post,9
the_review,xtpcse,8
the_review,tostring,8
the_review,joinby,8
the_review,reg2hdfespatial,8
the_review,cgmlogit,8
the_review,pwcorr,8
the_review,tebalance,8
the_review,rdplot,8
the_review,factor,7
the_review,postfile,7
the_review,postclose,7
the_review,tabstat,7
the_review,while,6
the_review,order,6
the_review,ivprobit,6
the_review,outsheet,6
the_review,macro,6
the_review,nbreg,6
the_review,xtpoisson,6
the_review,assert,6
the_review,oprobit,6
the_review,mean,5
the_review,cibar,5
the_review,labmask,5
the_review,final_loop,5
the_review,move,5
the_review,_simp,4
the_review,gsort,4
the_review,compress,4
the_review,ologit,4
the_review,lpoly,4
the_review,cgmreg,4
the_review,orth_out,4
the_review,levelsof,4
the_review,tabout,4
the_review,kdensity,4
the_review,split,4
the_review,rddisttestk,4
the_review,mkdir,4
the_review,genatmediant,4
the_review,tempvar,3
the_review,ytitle,3
the_review,xtitle,3
the_review,xsize,3
the_review,grc1leg,3
the_review,scatter,3
the_review,prepare_roc,3
the_review,sutex,3
the_review,drarea,3
the_review,rm,3
the_review,probit2,3
the_review,import,3
the_review,DCdensity,3
the_review,syntax,2
the_review,return,2
the_review,sureg,2
the_review,gr_edit,2
the_review,ivreg2,2
the_review,ebalance,2
the_review,list,2
the_review,makematrix,2
the_review,screeplot,2
the_review,rotate,2
the_review,shell,2
the_review,lookfor,2
the_review,codebook,2
the_review,make_index,2
the_review,outtable,2
the_review,center,2
the_review,cells,2
the_review,sxpose,2
the_review,menbreg,2
the_review,mepoisson,2
the_review,lincomest,2
the_review,table,2
the_review,rddensity,2
the_review,renpfix,2
the_review,browse,2
the_review,firthlogit,2
the_review,_chol,1
the_review,tokenize,1
the_review,args,1
the_review,decode,1
the_review,tset,1
the_review,spmap,1
the_review,tsline,1
the_review,unzipfile,1
the_review,xtile,1
the_review,texsave,1
the_review,xpose,1
the_review,computing_dist,1
the_review,xtlogit,1
the_review,exit,1
the_review,tabstatout,1
the_review,nbvargr,1
the_review,pause,1
the_review,interflex,1
the_review,shufflevar,1
the_review,drawnorm,1
the_review,expand,1
the_review,geodist,1
the_review,relogit,1
