,ajps,jop,the_review
stata,0.3584905660377358,0.5241935483870968,0.32727272727272727
r,0.33962264150943394,0.23387096774193547,0.34545454545454546
both,0.18867924528301888,0.1774193548387097,0.2
neither,0.11320754716981132,0.06451612903225806,0.12727272727272726
