journal,year,command,num_datasets
internationalinteractions,2015,bootstrap:stcox,1
internationalinteractions,2015,btscs,1
internationalinteractions,2015,estsimp,8
internationalinteractions,2015,heckprob,2
internationalinteractions,2015,ivreg2,1
internationalinteractions,2015,logit,16
internationalinteractions,2015,mlogit,1
internationalinteractions,2015,nbreg,3
internationalinteractions,2015,ologit,1
internationalinteractions,2015,poisson,2
internationalinteractions,2015,probit,3
internationalinteractions,2015,reg3,1
internationalinteractions,2015,regress,2
internationalinteractions,2015,relogit,2
internationalinteractions,2015,sartsel,1
internationalinteractions,2015,stcox,2
internationalinteractions,2015,streg,2
internationalinteractions,2015,sureg,1
internationalinteractions,2015,tobit,1
internationalinteractions,2015,xtlogit,3
internationalinteractions,2015,xtnbreg,1
internationalinteractions,2015,xtpcse,1
internationalinteractions,2015,xtprobit,1
internationalinteractions,2015,xtreg,2
internationalinteractions,2016,cgmreg,1
internationalinteractions,2016,clogit,1
internationalinteractions,2016,cmp,1
internationalinteractions,2016,estsimp,1
internationalinteractions,2016,ivregress,1
internationalinteractions,2016,logit,5
internationalinteractions,2016,nbreg,2
internationalinteractions,2016,oprobit,1
internationalinteractions,2016,probit,3
internationalinteractions,2016,regress,3
internationalinteractions,2016,xtgee,1
internationalinteractions,2016,xtgls,2
internationalinteractions,2016,xtlogit,2
internationalinteractions,2016,xtpcse,3
internationalinteractions,2016,xtreg,4
internationalinteractions,2016,zinb,1
internationalinteractions,2017,gologit2,1
internationalinteractions,2017,impute,1
internationalinteractions,2017,logit,3
internationalinteractions,2017,melogit,1
internationalinteractions,2017,mixed,1
internationalinteractions,2017,mlogit,2
internationalinteractions,2017,mprobit,1
internationalinteractions,2017,ologit,2
internationalinteractions,2017,oprobit,1
internationalinteractions,2017,probit,1
internationalinteractions,2017,regress,4
internationalinteractions,2017,tobit,1
internationalinteractions,2017,xtgee,1
internationalinteractions,2017,xtivreg,1
internationalinteractions,2017,xtpcse,1
internationalinteractions,2017,xtreg,3
internationalinteractions,2017,xttobit,1
internationalinteractions,2017,zinb,1
internationalinteractions,2018,biprobit,3
internationalinteractions,2018,bootstrap:xtreg,1
internationalinteractions,2018,btscs,4
internationalinteractions,2018,cmp,2
internationalinteractions,2018,estsimp,7
internationalinteractions,2018,glm,2
internationalinteractions,2018,gmm,1
internationalinteractions,2018,gologit2,1
internationalinteractions,2018,heckprob,2
internationalinteractions,2018,heckprobit,1
internationalinteractions,2018,hetprob,1
internationalinteractions,2018,hetregress,1
internationalinteractions,2018,impute,2
internationalinteractions,2018,interflex,1
internationalinteractions,2018,ivpoisson,2
internationalinteractions,2018,ivreg2,1
internationalinteractions,2018,ivregress,1
internationalinteractions,2018,logistic,1
internationalinteractions,2018,logit,16
internationalinteractions,2018,melogit,1
internationalinteractions,2018,ml,1
internationalinteractions,2018,mlogit,2
internationalinteractions,2018,nbreg,7
internationalinteractions,2018,newey,2
internationalinteractions,2018,ologit,2
internationalinteractions,2018,omodel,1
internationalinteractions,2018,oprobit,1
internationalinteractions,2018,poisson,1
internationalinteractions,2018,probit,11
internationalinteractions,2018,reg3,1
internationalinteractions,2018,reg3hdfe,1
internationalinteractions,2018,regress,21
internationalinteractions,2018,relogit,2
internationalinteractions,2018,spreg,1
internationalinteractions,2018,stcox,7
internationalinteractions,2018,streg,4
internationalinteractions,2018,sureg,2
internationalinteractions,2018,svar,1
internationalinteractions,2018,tobit,4
internationalinteractions,2018,var,1
internationalinteractions,2018,xtabond,1
internationalinteractions,2018,xtabond2,3
internationalinteractions,2018,xtgee,2
internationalinteractions,2018,xtgls,2
internationalinteractions,2018,xtivreg,1
internationalinteractions,2018,xtivreg2,1
internationalinteractions,2018,xtlogit,5
internationalinteractions,2018,xtmelogit,2
internationalinteractions,2018,xtnbreg,3
internationalinteractions,2018,xtpcse,6
internationalinteractions,2018,xtreg,14
internationalinteractions,2018,xtregar,1
internationalinteractions,2018,zinb,2
internationalinteractions,2019,cmp,1
internationalinteractions,2019,probit,2
internationalinteractions,2019,regress,3
internationalinteractions,2019,xtreg,1
internationalinteractions,2019,xtregar,1
ipsr-risp,2015,regress,3
ipsr-risp,2015,xtmixed,1
ipsr-risp,2016,logit,1
ipsr-risp,2016,mlogit,2
ipsr-risp,2016,nbreg,1
ipsr-risp,2016,regress,2
ipsr-risp,2016,xtmelogit,1
ipsr-risp,2016,xtmixed,2
ipsr-risp,2016,xtreg,1
ipsr-risp,2017,clogit,1
ipsr-risp,2017,logit,2
ipsr-risp,2017,mlogit,1
ipsr-risp,2017,ologit,1
ipsr-risp,2017,regress,3
ipsr-risp,2018,glm,1
ipsr-risp,2018,logit,3
ipsr-risp,2018,regress,3
ipsr-risp,2018,sem,1
ipsr-risp,2018,xtgee,1
ipsr-risp,2018,xtgls,1
ipsr-risp,2018,xtmixed,1
ipsr-risp,2018,xtpcse,1
ipsr-risp,2018,xtreg,1
ipsr-risp,2019,outreg,1
ipsr-risp,2019,xtlogit,1
ipsr-risp,2019,xtpcse,1
ipsr-risp,2019,xtreg,1
isq,2007,areg,2
isq,2007,biprobit,1
isq,2007,btscs,2
isq,2007,estsimp,2
isq,2007,heckprob,2
isq,2007,ivreg,1
isq,2007,logit,2
isq,2007,probit,2
isq,2007,regress,2
isq,2007,rreg,1
isq,2007,stcox,1
isq,2007,xtgee,2
isq,2007,xtlogit,2
isq,2007,xtnbreg,1
isq,2007,xtpcse,3
isq,2008,heckman,1
isq,2008,logit,2
isq,2008,mlogit,1
isq,2008,ologit,3
isq,2008,oprobit,4
isq,2008,outreg,2
isq,2008,regress,3
isq,2008,stcox,1
isq,2008,streg,1
isq,2008,xtgee,3
isq,2008,xtgls,1
isq,2008,xtlogit,1
isq,2008,xtpcse,4
isq,2008,xtregar,1
isq,2009,estsimp,2
isq,2009,heckprob,1
isq,2009,ivreg,1
isq,2009,mlogit,1
isq,2009,oprobit,1
isq,2009,probit,2
isq,2009,regress,1
isq,2009,stcox,1
isq,2009,xtpcse,2
isq,2017,anova,1
isq,2017,areg,1
isq,2017,bootstrap:xtmixed,1
isq,2017,btscs,2
isq,2017,clogit,1
isq,2017,cmp,1
isq,2017,estsimp,8
isq,2017,gllamm,3
isq,2017,glm,2
isq,2017,heckman,2
isq,2017,heckprob,2
isq,2017,heckprobit,1
isq,2017,impute,2
isq,2017,ivreg,1
isq,2017,ivreg2,1
isq,2017,ivtobit,1
isq,2017,logit,15
isq,2017,mlogit,1
isq,2017,nbreg,8
isq,2017,ologit,2
isq,2017,oprobit,4
isq,2017,outreg,1
isq,2017,probit,11
isq,2017,psmatch2,1
isq,2017,reg3,1
isq,2017,regress,21
isq,2017,relogit,2
isq,2017,rreg,2
isq,2017,sem,1
isq,2017,stcox,8
isq,2017,streg,3
isq,2017,tobit,1
isq,2017,xtabond,1
isq,2017,xtabond2,1
isq,2017,xtgee,5
isq,2017,xtgls,1
isq,2017,xtivreg,3
isq,2017,xtivreg2,1
isq,2017,xtlogit,6
isq,2017,xtmixed,2
isq,2017,xtnbreg,1
isq,2017,xtpcse,4
isq,2017,xtprobit,2
isq,2017,xtreg,17
isq,2017,xtregar,2
isq,2017,zinb,1
isq,2018,anova,1
isq,2018,areg,4
isq,2018,biprobit,2
isq,2018,bootstrap:ologit,1
isq,2018,bootstrap:oprobit,1
isq,2018,bootstrap:psmatch2,1
isq,2018,bootstrap:stcox,1
isq,2018,btscs,8
isq,2018,clogit,2
isq,2018,cmp,2
isq,2018,estsimp,20
isq,2018,firthlogit,3
isq,2018,glm,1
isq,2018,heckman,3
isq,2018,heckprob,6
isq,2018,hetprob,1
isq,2018,ivprobit,2
isq,2018,ivreg2,3
isq,2018,logistic,1
isq,2018,logit,52
isq,2018,meoprobit,1
isq,2018,meqrlogit,1
isq,2018,ml,1
isq,2018,mlogit,9
isq,2018,mprobit,1
isq,2018,nbreg,14
isq,2018,newey,2
isq,2018,ologit,7
isq,2018,oprobit,13
isq,2018,outreg,4
isq,2018,poisson,5
isq,2018,powerreg,1
isq,2018,probit,24
isq,2018,psmatch2,2
isq,2018,rc_spline,2
isq,2018,reg2hdfe,1
isq,2018,reg3,4
isq,2018,reghdfe,1
isq,2018,regress,50
isq,2018,relogit,8
isq,2018,rologit,1
isq,2018,sem,1
isq,2018,stcox,18
isq,2018,streg,14
isq,2018,sureg,1
isq,2018,tobit,4
isq,2018,version:xtivreg2,1
isq,2018,xtabond2,5
isq,2018,xtgee,5
isq,2018,xtgls,1
isq,2018,xtivreg,2
isq,2018,xtivreg2,5
isq,2018,xtlogit,7
isq,2018,xtmelogit,1
isq,2018,xtmixed,1
isq,2018,xtnbreg,3
isq,2018,xtpcse,17
isq,2018,xtpoisson,1
isq,2018,xtprobit,3
isq,2018,xtreg,28
isq,2018,xttobit,1
isq,2018,zinb,2
isq,2019,estsimp,2
isq,2019,heckman,1
isq,2019,logit,5
isq,2019,ologit,1
isq,2019,oprobit,1
isq,2019,probit,1
isq,2019,regress,4
isq,2019,stcox,1
isq,2019,xtivreg2,1
isq,2019,xtpcse,1
isq,2019,xtreg,2
isq,2019,zinb,1
jhr,2014,ologit,1
jhr,2014,xtpcse,1
