,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
stata,0.2978723404255319,0.5652173913043478,0.18421052631578946,0.2074074074074074,0.3023255813953488,0.40625,0.34444444444444444,0.2832369942196532,0.4831013916500994,0.4573643410852713,0.46219686162624823,0.4964824120603015,0.39634146341463417
r,0.02127659574468085,0.0,0.0,0.044444444444444446,0.27906976744186046,0.0,0.12222222222222222,0.35260115606936415,0.22465208747514911,0.19573643410852712,0.19543509272467904,0.2221105527638191,0.3079268292682927
both,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.011111111111111112,0.07514450867052024,0.11133200795228629,0.12209302325581395,0.10271041369472182,0.10452261306532663,0.11890243902439024
neither,0.6808510638297872,0.43478260869565216,0.8157894736842105,0.7481481481481481,0.3488372093023256,0.59375,0.5222222222222223,0.28901734104046245,0.18091451292246521,0.2248062015503876,0.2396576319543509,0.17688442211055277,0.17682926829268292
