,ajps,jop,the_review
stata,0.12421383647798742,0.16194690265486725,0.15451577801958652
stata_data,0.07075471698113207,0.2398230088495575,0.17845484221980412
stata_other,0,0.006194690265486726,0.009793253536452665
r,0.12421383647798742,0.13539823008849558,0.11425462459194777
r_data,0.07232704402515723,0.11061946902654868,0.046789989118607184
r_other,0.02358490566037736,0,0.001088139281828074
other,0.5849056603773585,0.34601769911504426,0.49510337323177367
