journal,year,command,count
economics,2016,xtabond2,121
economics,2019,xtreg,75
economics,2018,tobit,57
economics,2015,regress,49
economics,2016,xtreg,48
economics,2017,outreg,34
economics,2017,ivreg2,32
economics,2016,xtpcse,30
economics,2016,regress,23
economics,2018,ivreg2,16
economics,2018,regress,14
economics,2017,regress,14
economics,2017,ivprobit,14
economics,2014,regress,13
economics,2017,probit,12
economics,2019,probit,11
economics,2018,areg,10
economics,2015,xtmixed,8
economics,2018,ivregress,7
economics,2013,cnsreg,7
economics,2016,bootstrap:regress,7
economics,2019,ivregress,6
economics,2017,xtreg,6
economics,2016,oprobit,4
economics,2016,gologit2,4
economics,2016,probit,4
economics,2017,tobit,4
economics,2015,rreg,2
economics,2015,qreg,2
economics,2015,heckman,2
economics,2019,psmatch2,2
economics,2017,ologit,2
economics,2017,ivtobit,2
economics,2015,xtreg,1
economics,2018,probit,1
economics,2018,psmatch2,1
economics,2013,regress,1
economics,2017,xtpcse,1
jhr,2016,xtreg,124
jhr,2016,regress,72
jhr,2015,xtgls,60
jhr,2016,melogit,32
jhr,2016,ologit,30
jhr,2018,mixed,26
jhr,2016,ivreg2,24
jhr,2015,newey,19
jhr,2016,meologit,16
jhr,2016,zinb,10
jhr,2015,ivregress,8
jhr,2014,ologit,7
jhr,2014,xtpcse,6
jhr,2016,mlogit,6
jhr,2018,regress,4
jhr,2017,xtnbreg,3
jhr,2015,regress,1
jhr,2017,regress,1
jhr,2017,xtmixed,1
jop,2018,regress,1391
jop,2017,regress,1102
jop,2019,rdrobust,812
jop,2019,regress,711
jop,2017,xtreg,591
jop,2018,xtreg,522
jop,2015,regress,520
jop,2015,logit,448
jop,2018,probit,380
jop,2016,regress,364
jop,2018,mlogit,348
jop,2019,reghdfe,260
jop,2018,logit,244
jop,2017,logit,200
jop,2017,areg,176
jop,2018,oprobit,174
jop,2019,areg,148
jop,2016,logit,137
jop,2015,xtreg,119
jop,2018,areg,114
jop,2018,xtpcse,110
jop,2016,xtivreg2,110
jop,2017,probit,109
jop,2018,ivreg,108
jop,2016,ivregress,108
jop,2018,ml,105
jop,2016,areg,99
jop,2015,ologit,93
jop,2017,ivreg2,93
jop,2015,rdrobust,91
jop,2019,xtreg,85
jop,2018,cgmreg,84
jop,2018,reghdfe,82
jop,2019,logit,80
jop,2017,ologit,75
jop,2018,ologit,74
jop,2018,svy:oprobit,72
jop,2015,svy:oprobit,71
jop,2018,meqrlogit,66
jop,2018,melogit,65
jop,2017,stcox,63
jop,2015,xtmelogit,58
jop,2019,nbreg,54
jop,2019,edvreg,54
jop,2017,outreg,54
jop,2015,stcox,53
jop,2015,sem,50
jop,2015,gsem,48
jop,2019,rd,46
jop,2015,ivregress,43
jop,2016,probit,41
jop,2018,clogit,39
jop,2017,xtpcse,38
jop,2018,svy:regress,37
jop,2018,stcox,37
jop,2016,ologit,37
jop,2015,probit,36
jop,2016,xtreg,36
jop,2015,areg,35
jop,2015,ml,35
jop,2015,streg,34
jop,2018,mixed,34
jop,2017,nbreg,34
jop,2016,ivreg,33
jop,2017,xtivreg2,30
jop,2015,svy:regress,29
jop,2018,impute,29
jop,2018,ivregress,29
jop,2016,xtmixed,28
jop,2016,outreg,28
jop,2015,nbreg,27
jop,2016,cgmreg,27
jop,2016,poisson,27
jop,2018,glm,24
jop,2018,streg,24
jop,2018,sem,24
jop,2019,xtlogit,24
jop,2016,xtabond,24
jop,2019,xtpcse,23
jop,2016,rdrobust,22
jop,2018,estsimp,21
jop,2019,xtmixed,21
jop,2019,ologit,20
jop,2018,xtivreg2,19
jop,2018,outreg,19
jop,2019,glm,18
jop,2019,xtnbreg,18
jop,2015,meologit,17
jop,2017,mixed,17
jop,2018,psmatch2,16
jop,2018,xtlogit,16
jop,2016,zinb,16
jop,2017,tobit,16
jop,2017,reghdfe,16
jop,2015,xtlogit,15
jop,2015,ivreg2,15
jop,2018,meprobit,14
jop,2019,bootstrap:ologit,14
jop,2016,stcox,14
jop,2016,psmatch2,14
jop,2017,xtlogit,14
jop,2017,xtmelogit,14
jop,2019,bootstrap:regress,13
jop,2016,nbreg,13
jop,2016,bootstrap:reghdfe,13
jop,2017,anova,13
jop,2018,eivreg,12
jop,2019,gmm,12
jop,2016,reghdfe,12
jop,2017,oprobit,12
jop,2015,mlogit,11
jop,2018,ivreg2,11
jop,2016,gllamm,11
jop,2017,ivregress,11
jop,2017,glm,11
jop,2018,tobit,10
jop,2018,mixlogit,10
jop,2019,mlogit,10
jop,2016,xtgls,10
jop,2017,estsimp,10
jop,2018,ivprobit,9
jop,2019,mixed,9
jop,2019,zinb,9
jop,2016,mlogit,9
jop,2016,bootstrap:xtreg,9
jop,2016,xtpcse,9
jop,2017,ml,9
jop,2017,heckprob,9
jop,2018,svy:probit,8
jop,2019,xtmelogit,8
jop,2019,eivreg,8
jop,2016,cgmlogit,8
jop,2016,glm,8
jop,2015,xtivreg2,7
jop,2015,anova,7
jop,2018,gologit2,7
jop,2018,xtmixed,7
jop,2016,ivreg2,7
jop,2016,estsimp,7
jop,2017,sureg,7
jop,2015,impute,6
jop,2018,dprobit,6
jop,2018,meoprobit,6
jop,2018,xtabond2,6
jop,2019,estsimp,6
jop,2019,interflex,6
jop,2019,melogit,6
jop,2019,sem,6
jop,2016,bootstrap:regress,6
jop,2016,rd,6
jop,2016,ivprobit,6
jop,2017,impute,6
jop,2015,clogit,5
jop,2015,psmatch2,4
jop,2015,xtnbreg,4
jop,2015,heckprob,4
jop,2015,glm,4
jop,2018,nbreg,4
jop,2018,meologit,4
jop,2019,ivregress,4
jop,2016,firthlogit,4
jop,2016,xtprobit,4
jop,2016,xtnbreg,4
jop,2017,xtmixed,4
jop,2015,ivprobit,3
jop,2015,mprobit,3
jop,2018,heckprobit,3
jop,2018,btscs,3
jop,2019,rologit,3
jop,2016,impute,3
jop,2015,btscs,2
jop,2015,biprobit,2
jop,2018,sureg,2
jop,2018,xtgls,2
jop,2018,heckman,2
jop,2018,xtabond,2
jop,2019,bootstrap:logit,2
jop,2019,DCdensity,2
jop,2016,mprobit,2
jop,2016,xtabond2,2
jop,2017,streg,2
jop,2017,relogit,2
jop,2017,mlogit,2
jop,2015,DCdensity,1
jop,2015,xtmixed,1
jop,2015,svy:mlogit,1
jop,2015,svy:probit,1
jop,2015,heckman,1
jop,2015,heckprobit,1
jop,2018,DCdensity,1
jop,2018,interflex,1
jop,2018,heckprob,1
jop,2019,clogit,1
jop,2019,svy:regress,1
jop,2019,svy:logit,1
jop,2019,nl,1
jop,2016,clogit,1
jop,2017,poisson,1
jop,2017,ivprobit,1
jop,2017,tlogit,1
jop,2017,meqrlogit,1
PSRM,2016,regress,479
PSRM,2016,ologit,417
PSRM,2016,xtreg,356
PSRM,2015,regress,221
PSRM,2014,regress,170
PSRM,2019,xtreg,154
PSRM,2016,areg,133
PSRM,2018,regress,112
PSRM,2013,outreg,91
PSRM,2019,regress,90
PSRM,2013,regress,84
PSRM,2013,ml,84
PSRM,2015,biprobit,83
PSRM,2017,regress,83
PSRM,2016,logit,80
PSRM,2018,xtivreg2,78
PSRM,2017,xtpcse,72
PSRM,2017,xtmixed,63
PSRM,2016,xtpcse,62
PSRM,2017,probit,58
PSRM,2018,logit,55
PSRM,2017,xtreg,54
PSRM,2015,nbreg,53
PSRM,2015,oprobit,52
PSRM,2014,xtreg,49
PSRM,2016,nbreg,49
PSRM,2016,svy:regress,42
PSRM,2019,logit,41
PSRM,2015,logit,38
PSRM,2016,ml,36
PSRM,2017,mlogit,36
PSRM,2015,xtreg,35
PSRM,2019,tobit,32
PSRM,2016,xtlogit,32
PSRM,2016,mlogit,31
PSRM,2017,logit,31
PSRM,2016,svy:probit,30
PSRM,2016,heckman,24
PSRM,2016,melogit,24
PSRM,2018,xtreg,23
PSRM,2016,xtmelogit,22
PSRM,2018,ologit,21
PSRM,2016,svy:logit,20
PSRM,2015,areg,19
PSRM,2013,xtreg,19
PSRM,2016,meqrlogit,18
PSRM,2016,rd,18
PSRM,2014,xtpcse,16
PSRM,2015,ml,16
PSRM,2015,glm,15
PSRM,2016,estsimp,15
PSRM,2016,oprobit,15
PSRM,2016,tobit,15
PSRM,2014,logit,14
PSRM,2014,impute,14
PSRM,2014,anova,14
PSRM,2016,ivregress,13
PSRM,2016,xtregar,13
PSRM,2018,probit,12
PSRM,2013,oprob,12
PSRM,2017,spreg,12
PSRM,2016,probit,11
PSRM,2014,tobit,10
PSRM,2014,areg,10
PSRM,2015,stcox,10
PSRM,2017,tobit,10
PSRM,2016,xtprobit,9
PSRM,2016,gllamm,9
PSRM,2015,ivregress,8
PSRM,2018,stcox,8
PSRM,2016,clogit,8
PSRM,2016,xttobit,8
PSRM,2018,mlogit,7
PSRM,2015,mlogit,6
PSRM,2015,svy:mlogit,6
PSRM,2018,firthlogit,6
PSRM,2018,ivreg2,6
PSRM,2016,xtgls,6
PSRM,2015,svy:regress,5
PSRM,2018,gologit2,5
PSRM,2016,relogit,5
PSRM,2017,ologit,5
PSRM,2015,bootstrap:regress,4
PSRM,2015,bootstrap:xtreg,4
PSRM,2015,ologit,4
PSRM,2018,anova,4
PSRM,2013,tobit,4
PSRM,2019,rdrobust,4
PSRM,2016,xtabond,4
PSRM,2016,zinb,4
PSRM,2017,xtologit,4
PSRM,2017,xtgls,4
PSRM,2017,xtregar,4
PSRM,2015,clogit,3
PSRM,2015,svy:logit,3
PSRM,2015,probit,3
PSRM,2018,ivregress,3
PSRM,2018,betareg,3
PSRM,2019,ivreg2,3
PSRM,2016,meologit,3
PSRM,2016,mixlogit,3
PSRM,2016,var,3
PSRM,2016,outreg,3
PSRM,2017,clogit,3
PSRM,2017,relogit,3
PSRM,2017,gllamm,3
PSRM,2014,probit,2
PSRM,2015,streg,2
PSRM,2015,zinb,2
PSRM,2013,heckman,2
PSRM,2019,relogit,2
PSRM,2016,ivreg,2
PSRM,2016,intreg,2
PSRM,2016,oprob,2
PSRM,2016,impute,2
PSRM,2016,heckprobit,2
PSRM,2017,meologit,2
PSRM,2017,estsimp,2
PSRM,2015,poisson,1
PSRM,2015,estsimp,1
PSRM,2018,streg,1
PSRM,2018,xtlogit,1
PSRM,2016,btscs,1
PSRM,2016,rreg,1
PSRM,2016,mixed,1
PSRM,2017,sureg,1
PSRM,2017,reg3,1
PSRM,2017,oprobit,1
PSRM,2017,rc_spline,1
the_review,2018,regress,900
the_review,2019,regress,387
the_review,2019,xtreg,286
the_review,2017,regress,261
the_review,2018,areg,260
the_review,2017,ivregress,209
the_review,2018,logit,158
the_review,2016,regress,153
the_review,2018,estsimp,151
the_review,2018,dprobit,119
the_review,2018,xtreg,104
the_review,2017,xtreg,104
the_review,2017,ivreg2,92
the_review,2017,probit,73
the_review,2018,xtivreg2,69
the_review,2018,psmatch2,55
the_review,2015,regress,50
the_review,2013,logit,45
the_review,2013,ivregress,40
the_review,2018,xtmixed,39
the_review,2017,xtmixed,38
the_review,2018,probit,36
the_review,2011,logit,33
the_review,2018,rdrobust,32
the_review,2018,meologit,30
the_review,2017,areg,30
the_review,2018,mixed,28
the_review,2019,areg,26
the_review,2019,xtivreg2,26
the_review,2018,reghdfe,25
the_review,2018,xtmelogit,22
the_review,2019,tobit,22
the_review,2019,oprobit,20
the_review,2017,xtprobit,20
the_review,2016,xtreg,19
the_review,2017,estsimp,18
the_review,2018,melogit,17
the_review,2012,regress,17
the_review,2017,xtnbreg,17
the_review,2017,nbreg,17
the_review,2014,xtreg,15
the_review,2015,svy:regress,14
the_review,2018,tlogit,13
the_review,2016,mlogit,12
the_review,2015,ivreg2,11
the_review,2014,xtlogit,10
the_review,2018,svy:regress,10
the_review,2018,glm,10
the_review,2019,dprobit,10
the_review,2018,xtpcse,8
the_review,2018,reg2hdfespatial,8
the_review,2018,cgmlogit,8
the_review,2013,areg,8
the_review,2013,xtreg,8
the_review,2019,interflex,8
the_review,2016,ivreg2,8
the_review,2017,xtabond,8
the_review,2018,ivprobit,6
the_review,2018,nbreg,6
the_review,2018,xtpoisson,6
the_review,2018,oprobit,6
the_review,2016,dprobit,6
the_review,2013,probit,5
the_review,2017,ivprobit,5
the_review,2018,ologit,4
the_review,2018,cgmreg,4
the_review,2019,xtabond2,4
the_review,2016,estsimp,4
the_review,2016,biprobit,4
the_review,2017,logit,4
the_review,2017,bootstrap:ivreg2,4
the_review,2018,probit2,3
the_review,2018,DCdensity,3
the_review,2013,regress,3
the_review,2019,nbreg,3
the_review,2016,oprobit,3
the_review,2016,nbreg,3
the_review,2017,poisson,3
the_review,2017,xtpcse,3
the_review,2018,sureg,2
the_review,2018,ivreg2,2
the_review,2018,menbreg,2
the_review,2018,mepoisson,2
the_review,2018,firthlogit,2
the_review,2019,xtlogit,2
