,2017,2018,2019
stata,0.4444444444444444,0.5217391304347826,0.6666666666666666
r,0.3888888888888889,0.21739130434782608,0.2
both,0.05555555555555555,0.13043478260869565,0.06666666666666667
neither,0.1111111111111111,0.13043478260869565,0.06666666666666667
