,2016,2017,2018,2019
stata,0.4444444444444444,0.5454545454545454,0.4666666666666667,0.4
r,0.0,0.09090909090909091,0.3,0.2
both,0.0,0.18181818181818182,0.1,0.2
neither,0.5555555555555556,0.18181818181818182,0.13333333333333333,0.2
