file,#,# reg
ajps/DJ2DPZ/Fig_1.do,17,0
ajps/ZYRC8S/20180125_MaleskyMosley_AppendicesB&C.do,40,0
ajps/ZYRC8S/20180125_MaleskyMosley_AppendixI_HetEffects.do,105,39
ajps/ZYRC8S/20180125_MaleskyMosley_MainResults.do,77,14
ajps/ZYRC8S/20180302_MaleskyMosley_MarkupCodes.do,56,0
ajps/ZYRC8S/20180125_MaleskyMosley_Balance.do,18,5
ajps/ZYRC8S/20180125_MaleskyMosley_MarkupInteractions.do,53,16
ajps/ZYRC8S/20180125_MaleskyMosley_Setup.do,103,0
ajps/ZYRC8S/20180125_MaleskyMosley_PairedComparison.do,20,8
ajps/OOIEAO/SectionIII_Sims.do,137,4
ajps/OOIEAO/SectionIII_Application.do,32,3
ajps/HIQ4BV/analysis.do,261,33
ajps/21992/lgbtrally_replication.do,72,11
ajps/18689/Political quid pro quo.do,357,18
ajps/I4KVD1/Klar Replication Data.do,36,6
ajps/24859/EnforcementPolitics.do,195,0
ajps/X88LYH/Do-File.do,164,0
ajps/X88LYH/Dataset Reconstruction.do,627,0
ajps/21008/Reoffering_analysis_vf_deposited2013.do,14,0
ajps/21008/Main_analysis_vf_deposited_spring2013.do,96,7
ajps/21008/Individual Level CES_revised_vf_deposited_spring2013.do,61,0
ajps/MIXK94/ButlerDynes_ReplicationCode.do,379,50
ajps/PL2XFD/cses_coding and merging.do,444,0
ajps/PL2XFD/cses_merging_modules.do,101,0
ajps/PL2XFD/analyses.do,1202,4
ajps/GSQG1K/NoHarm_Replication.do,608,11
ajps/NC06GQ/Main Results - Figure 3.do,38,0
ajps/NC06GQ/Main Results - Table 2.do,36,0
ajps/YJUIBI/AJPS_CPPG_replication_10April2017.do,305,1
ajps/21452/KS AJPS replication individual level models.do,5,0
ajps/21452/KS AJPS replication Gallup models.do,11,0
ajps/21452/Iraq votes replication.do,17,0
ajps/21452/KS AJPS replication aggregate models.do,4,0
ajps/24724/Basic_Arithmetic_Replication/ERD dataset/Plot types.do,26,0
ajps/24724/Basic_Arithmetic_Replication/REPLICATION_basic_arithmetic_2_of_2.do,227,0
ajps/4XI0UG/MEVMLB_TABLE1_DoFile.do,4,2
ajps/4XI0UG/MEVMLB_TABLE4_DoFile.do,17,6
ajps/SPXP04/Tables and Figures.do,216,0
ajps/O3A06T/ANES.do,1302,34
ajps/O3A06T/MTurk.do,1525,34
ajps/19188/replication_data_20121108.do,181,0
ajps/18867/ajps_exp3_re/exp4_rep.do,19,3
ajps/18867/ajps_exp2_re/exp3_rep.do,14,1
ajps/18867/ajps_exp1_re/exp1_replication.do,37,5
ajps/18911/VWW_AJPS_Replication.do,109,40
ajps/27241/Can Incarcerated Felons Be (Re)integrated into the Political System - PublicReplicationArchive/PublicReplicationArchive/perturb_age_sentlength_to_anonymizefieldexperimentdata.do,18,0
ajps/27241/Can Incarcerated Felons Be (Re)integrated into the Political System - PublicReplicationArchive/PublicReplicationArchive/analysis_using_nonperturbed_privatefiles.do,408,16
ajps/27241/Can Incarcerated Felons Be (Re)integrated into the Political System - PublicReplicationArchive/PublicReplicationArchive/analysis_using_perturbed_publicdatafiles.do,408,16
ajps/Q8CSU8/ISSP_analysis.do,30,6
ajps/Q8CSU8/ISSP_setup.do,241,0
ajps/PGXO5O/replication_materials_submitted_20170403/replication_materials_submitted_20170403/code/2nd table in the appendix - Simulation of the discreteness issue bin size McCrary graphs.do,32,0
ajps/PGXO5O/replication_materials_submitted_20170403/replication_materials_submitted_20170403/code/3rd table in the appendix - simulating the pooling issue.do,18,0
ajps/PGXO5O/replication_materials_submitted_20170403/replication_materials_submitted_20170403/code/1st table in the appendix - simulation of discreteness issue.do,41,0
ajps/24506/JThomas_AJPS.do,208,0
ajps/24827/EnnsAJPS2014_Rep.do,152,12
ajps/7D48YB/3_Combine datasets.do,52,0
ajps/7D48YB/1_CCES_code.do,161,0
ajps/7D48YB/2_Elections.do,52,0
ajps/LZGQOH/eo_original_list.do,591,0
ajps/WOI8EU/Majority Minority Divide_AJPS_CATI.do,38,4
ajps/WOI8EU/Majority Minority Divide_AJPS.do,261,33
ajps/21349/GKN_AJPS_Code_Final.do,317,0
ajps/IYZWUD/STATA do file-1.do,17,0
ajps/18516/Huber AJPS replication data files/voting_measures.do,115,0
ajps/18516/Huber AJPS replication data files/sample do file for creating voting measures from survey data.do,86,0
ajps/18516/Huber AJPS replication data files/replicate AJPS ethnic voting.do,141,37
ajps/22158/LacinaAJPSreplication.do,219,1
ajps/IXWZZO/ajps_figures.do,102,0
ajps/IXWZZO/ajps_tables.do,190,6
ajps/IXWZZO/ajps_visits_dataprep.do,25,0
ajps/IXWZZO/ajps_additional_tables.do,110,0
ajps/21688/broockman replication code.do,38,23
ajps/18481/Replication - WSWS.do,201,0
ajps/18481/Replication - Data Formatting.do,1057,0
ajps/18481/Replication - SUEST.do,106,0
ajps/18481/Replication - Models.do,423,0
ajps/HI1X4O/iv_heterogeneity.do,10,0
ajps/25531/kenya_inst.do,41,3
ajps/25423/leader data prep file.do,6396,0
ajps/25423/analysis Treisman ajps 2014.do,3687,166
ajps/25423/data prep file.do,4021,0
"ajps/NS3NMH/Hall, Macro Implementation Do File.do",381,43
"ajps/NS3NMH/Hall, Create Macro Implementation Do File.do",392,4
ajps/24797/Dickson_Gordon_Huber_2014_replication_archive/ReplicationArchive/02_PerformBalancetests.do,57,0
ajps/24797/Dickson_Gordon_Huber_2014_replication_archive/ReplicationArchive/01_CoreAnalysisFile.do,36,0
ajps/I1HVCJ/edit_variables.do,86,0
ajps/I1HVCJ/leadergraph.do,16,0
ajps/26783/WDR-REPLICATION/REPLICATION/wdr2-ajps.do,173,0
ajps/STOQ1Q/ajps-CreateDataTable4a.do,534,0
ajps/STOQ1Q/ajps-CreateDataTable3.do,167,0
ajps/STOQ1Q/ajps-CreateData.do,18,0
ajps/STOQ1Q/ajps-Figure1.do,21,0
ajps/STOQ1Q/ajps-CreateDataTableA2.do,245,0
ajps/26522/AJPSlegalreplication.do,259,0
ajps/LVHIYG/Christenson_Kriner_AJPS_Replication_Final.do,871,0
ajps/26714/study2replication.do,784,3
ajps/26714/Study 2 Replication/Study 2 Replication/study2replication.do,784,3
ajps/26714/Study 2 Replication/Study 2 Replication/study2replication_makedata.do,728,0
ajps/26714/study1replication071414final.do,202,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/2006_dep_var.do,39,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/citizens_reports_aggregate.do,274,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/2007_dep_var.do,332,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/2011_dep_var.do,148,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/merge_final_aggregate.do,145,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/2010_dep_var.do,146,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/merge_final_LAPOP.do,769,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/cleaning_merging_controls_aggregate.do,363,0
ajps/K6ZOOW/Stata_code/Stata_code/Datasets/merge_dep_vars_aggregate.do,109,0
ajps/K6ZOOW/Stata_code/Stata_code/Results/MI_Table3_aggregate_results.do,67,1
ajps/K6ZOOW/Stata_code/Stata_code/Results/main_results_LAPOP.do,31,2
ajps/K6ZOOW/Stata_code/Stata_code/Results/main_results_aggregate_data.do,70,6
ajps/18882/Imbens_SensitivityAnalysis_Immigration.do,27,0
ajps/18882/immigration_replicationfile.do,550,54
ajps/AIRCBB/2015-5-12_Miller-replication.do,109,0
ajps/24507/AJPS Z/AJPS Zip/AJPS_Checkpoint_do_Hite.do,144,10
ajps/18358/Replication.do,43,4
ajps/TVZQG6/cowcodes.do,343,0
ajps/TVZQG6/CreateMicroTemp.do,184,0
ajps/TVZQG6/CreateMacroTemp.do,247,0
ajps/WZV20D/Study 3/Study 3/anes_clean.do,572,0
ajps/WZV20D/Study 3/Study 3/AMP_reliability.do,250,0
ajps/WZV20D/Study 3/Study 3/anes_analysis.do,333,46
ajps/WZV20D/Study 2/Study 2/qualtrics_clean_s2.do,111,0
ajps/WZV20D/Study 2/Study 2/iat_clean_s2.do,34,0
ajps/WZV20D/Study 2/Study 2/s2_analysis.do,48,4
ajps/WZV20D/Study 1/Study 1/iat_clean_s1.do,37,0
ajps/WZV20D/Study 1/Study 1/s1_analysis.do,41,4
ajps/WZV20D/Study 1/Study 1/qualtrics_clean_s1.do,62,0
ajps/20295/Better Angels of Our Nature Study 1 citizenship experiment robustness checks code final.do,34,8
ajps/20295/Better Angels of Our Nature Study 1 citizenship experiment replication code.do,132,9
ajps/20295/Better Angels of our nature study 3 - voting analysis Germany - full replication code.do,207,0
ajps/20295/Better Angels of Our Nature Study 2 replication code.do,150,9
ajps/20295/Better Angels of our nature study 3 - demographic controls Germany.do,585,0
ajps/20295/Better Angels of our nature study 3 - voting analysis Britain - full replication code.do,143,0
ajps/20295/Better Angels of Our Nature Study 1 citizenship experiment demographic controls code.do,381,0
ajps/20295/Better Angels of Our Nature Study 2 robustness checks replication code.do,57,9
ajps/23302/patronage2013 replication file bush analysis for appendix.do,348,4
ajps/23302/AJPS Presidents and Patronage.do,74,18
ajps/18803/AklinUrpelainenPositive_analysis.do,374,63
ajps/18803/AklinUrpelainenPositive_coding.do,157,0
"ajps/24707/Dataverse Files/Dataverse Files/LNS data/Table C, LNS Identity Items Correlation.do",3,0
"ajps/24707/Dataverse Files/Dataverse Files/LNS data/Table K, LNS demographics.do",10,0
ajps/24707/Dataverse Files/Dataverse Files/Main Replication/Main Analyses.do,138,12
"ajps/24707/Dataverse Files/Dataverse Files/Perez 2013 data/Table H, Affirmative and Reverse ID items.do",5,0
ajps/H13U6G/Merge Do File.do,91,0
ajps/H13U6G/Change Point Do File.do,6,0
ajps/18943/Replication files_1/Replication files/Cleaning Files Replication/cleanpod03_ib_ajps_fin_rep.do,433,0
ajps/18943/Replication files_1/Replication files/Cleaning Files Replication/cleanpod0503_ajps_fin_rep.do,409,0
ajps/18943/Replication files_1/Replication files/Cleaning Files Replication/provouter2_rep.do,1188,3
ajps/18943/Replication files_1/Replication files/Cleaning Files Replication/multfiles_rep.do,55,0
ajps/18943/Replication files_1/Replication files/inst_basis_order_tests0503_ajps_fin_rep.do,520,93
ajps/18943/Replication files_1/Replication files/inst_basis_order_tests03_ajps_fin_rep.do,820,36
ajps/18943/Replication files_1/Replication files/inst_basis_order_ajps_fin_rep.do,44,0
ajps/18943/Replication files_1/Replication files/inst_basis_order0503_ajps_fin_rep.do,47,0
ajps/24128/ajps_replication.do,200,0
ajps/22018/TwoCourtsFinalDo.do,154,2
ajps/GDFJ4N/StrategiesResistance_Replication.do,435,21
ajps/GDFJ4N/AppendixFigures.do,96,0
ajps/SEHMGR/3Brazil2008LAPOP.do,5,0
ajps/SEHMGR/1ELITES55Brazil.do,5,0
ajps/SEHMGR/2Banco_ElitesEstaduais2007_11.do,6,0
ajps/2E2M9Z/dcp_main.do,408,52
