year,dataset,command,count
2018,GSNXV7,sem,14
2018,CJBG5J,regress,14
2018,RYKJKS,ologit,14
2018,XTS8IE,meprobit,14
2018,KGK9QO,regress,14
2019,DWOBT4,bootstrap:ologit,14
2016,YNOR7Q,regress,14
2016,HQ1N6A,regress,14
2016,2YQX37,psmatch2,14
2017,ULTUUC,probit,14
2017,D0LEX4,outreg,14
2015,7KSNCE,logit,13
2018,SXJHEJ,svy:regress,13
2018,KGHEU4,regress,13
2018,Y1EUAY,ologit,13
2018,VXQUBN,probit,13
2019,DWOBT4,bootstrap:regress,13
2016,14RSGX,bootstrap:reghdfe,13
2017,QG7FMX,anova,13
2017,TWDSBW,ivreg2,13
2015,29286,logit,12
2018,ZUICBB,glm,12
2018,XONPX2,eivreg,12
2018,1CKNTW,regress,12
2018,ROFNV2,estsimp,12
2018,NMCOBF,mlogit,12
2018,UNWIHE,glm,12
2018,LXIBYP,regress,12
2019,GWD4HA,logit,12
2019,JWJRME,logit,12
2019,JWJRME,ologit,12
2016,BYFTMD,regress,12
2016,14RSGX,reghdfe,12
2016,AKMM0S,logit,12
2016,QQENMZ,logit,12
2016,EB0BGA,probit,12
2016,IVPUQT,xtreg,12
2017,6NSLSM,ologit,12
2017,KDRXD0,areg,12
2017,XOERIO,xtreg,12
2017,LDRTZI,ologit,12
2017,01LN9W,oprobit,12
2018,XSCFX5,impute,11
2019,SXLXNV,gmm,11
2019,SXLXNV,logit,11
2019,KXIN0A,xtmixed,11
2016,L8YLCJ,gllamm,11
2017,CLMQ8E,areg,11
2017,QV7AJH,glm,11
2015,EPEDIE,logit,10
2018,7UBRAC,regress,10
2018,XONPX2,xtlogit,10
2018,KGZGLT,mixlogit,10
2018,ROUWNS,areg,10
2018,CJBG5J,sem,10
2018,NMCOBF,regress,10
2018,8YPPLM,regress,10
2016,1O8LCD,stcox,10
2016,QDPQUD,xtreg,10
2016,ABX2WA,xtgls,10
2017,WZE08F,logit,10
2017,IO89OI,logit,10
2017,IO89OI,regress,10
2017,EVYI2H,xtreg,10
2017,96H4DV,regress,10
2015,ZE3ITV,ivreg2,9
2018,ZFQMCP,probit,9
2018,LOBXKJ,regress,9
2018,RYKJKS,regress,9
2019,JWJRME,xtreg,9
2019,M89XMZ,regress,9
2019,IIE50D,zinb,9
2016,A2EIZC,regress,9
2016,GOLMTC,regress,9
2016,SYSOPW,xtpcse,9
2017,1GLFE1,ml,9
2017,WDRHTS,logit,9
2017,5A0JOI,ologit,9
2017,1U5WZT,regress,9
2017,C6XJAT,heckprob,9
2015,DGHX1E,ml,8
2015,DGHX1E,mlogit,8
2015,VNTVO6,logit,8
2015,CVBXQX,logit,8
2018,E2OS8R,probit,8
2018,E2OS8R,ivprobit,8
2018,I72HB0,ivreg2,8
2018,SOQH9L,regress,8
2018,GS8IFM,xtreg,8
2018,X2JEXD,ivregress,8
2018,CA8GZZ,regress,8
2019,DWOBT4,mlogit,8
2019,RQZWE6,xtmelogit,8
2019,QNCRWS,eivreg,8
2016,BYFTMD,xtreg,8
2016,RMHOHL,cgmlogit,8
2016,TYIVYZ,logit,8
2016,WT2XZQ,areg,8
2016,HKOBWC,glm,8
2016,EB0BGA,nbreg,8
2016,6WBQ7U,areg,8
2017,UV7ZPZ,probit,8
2017,VS3CG6,ivregress,8
2017,M9VJAV,xtpcse,8
2017,XAWZVS,stcox,8
2017,R163AN,ologit,8
2017,01LN9W,logit,8
2017,ELWP8V,xtmelogit,8
2015,EWW2GX,xtivreg2,7
2015,EWW2GX,xtreg,7
2015,WFVMKD,anova,7
2015,7YEK7H,regress,7
2018,2UUQ25,logit,7
2018,2UUQ25,regress,7
2018,ROFNV2,regress,7
2018,S2Y1PA,ologit,7
2018,3TTQL2,tobit,7
2018,3TTQL2,regress,7
2018,RYKJKS,estsimp,7
2018,8OKVHY,gologit2,7
2018,F2JF6G,xtmixed,7
2018,W2MFYX,streg,7
2016,GJLYGI,regress,7
2016,2YQX37,probit,7
2016,UCRHWN,ologit,7
2017,J4KRBG,regress,7
2017,UOABFB,sureg,7
2015,GKWF0N,xtlogit,6
2015,4HFPNH,xtmelogit,6
2015,Q0XAPV,impute,6
2015,Q0XAPV,xtlogit,6
2015,29026,stcox,6
2015,28929,probit,6
2015,UE1JXM,logit,6
2015,PYWNTB,ivreg2,6
2018,XL73P4,regress,6
2018,VRMH3I,dprobit,6
2018,XQ9RJT,logit,6
2018,JAOQSD,xtlogit,6
2018,9WNYEU,svy:oprobit,6
2018,SXG7BF,regress,6
2018,VSXTFS,ologit,6
2018,8OKVHY,xtreg,6
2018,8OKVHY,meoprobit,6
2018,D73LV3,xtabond2,6
2019,V83FXD,estsimp,6
2019,ZK7QPH,interflex,6
2019,WG8VCK,regress,6
2019,RQZWE6,melogit,6
2019,JWJRME,xtlogit,6
2019,M3O9O6,sem,6
2016,CSHNIS,xtmixed,6
2016,RMHOHL,mlogit,6
2016,HQ1N6A,bootstrap:regress,6
2016,GOLMTC,rd,6
2016,8XPBSA,regress,6
2016,WBWWUO,logit,6
2016,QDPQUD,ivprobit,6
2016,SJJ158,estsimp,6
2016,GMWOY6,regress,6
2016,CWQYIB,regress,6
2017,IZC5P1,regress,6
2017,UOABFB,regress,6
2017,TLBBUX,xtlogit,6
2017,Q5M4UQ,ologit,6
2017,U1CB0K,xtlogit,6
2017,IWTPVO,xtmelogit,6
2017,BWYJKB,regress,6
2017,V9QSWK,regress,6
2017,GB5BFN,nbreg,6
2015,OB00VG,probit,5
2015,NKN0E8,regress,5
2015,XTQJEN,regress,5
2015,Q0XAPV,probit,5
2015,WBBAE3,clogit,5
2018,SMLV5D,regress,5
2018,MVD5VP,regress,5
2018,XSCFX5,logit,5
2018,F2JF6G,svy:regress,5
2018,F2JF6G,xtreg,5
2019,DXGVAW,nbreg,5
2019,ZK7QPH,logit,5
2019,RQZWE6,xtmixed,5
2019,IIE50D,regress,5
2019,85RL5E,regress,5
2016,MVN4DP,regress,5
2016,RTJ38N,bootstrap:xtreg,5
2017,XWAREK,regress,5
2017,01LN9W,regress,5
2015,OB00VG,logit,4
2015,ASKRHF,psmatch2,4
2015,ASKRHF,xtreg,4
2015,29076,xtnbreg,4
2015,29231,logit,4
2015,29026,logit,4
2015,29286,heckprob,4
2015,29108,glm,4
2015,7KSNCE,regress,4
2015,EPEDIE,regress,4
2015,CVBXQX,xtreg,4
2018,E2OS8R,regress,4
2018,ZUICBB,xtreg,4
2018,ZFQMCP,logit,4
2018,KJ6X76,probit,4
2018,YCQCWJ,svy:probit,4
2018,9WNYEU,regress,4
2018,9WNYEU,svy:probit,4
2018,9WNYEU,probit,4
2018,QJ9E9M,reghdfe,4
2018,5JLGEL,probit,4
2018,MLFYNX,regress,4
2018,HVHUIP,logit,4
2018,S2Y1PA,melogit,4
2018,S2Y1PA,meologit,4
2018,WUOAB7,logit,4
2018,RYKJKS,mlogit,4
2018,Y1EUAY,logit,4
2018,8YPPLM,stcox,4
2019,V83FXD,ologit,4
2019,C8DCCW,logit,4
2019,C8DCCW,mixed,4
2019,ZK7QPH,xtmixed,4
2019,RQZWE6,logit,4
2019,RQZWE6,mixed,4
2019,UQVN70,ivregress,4
2019,ZTTCOX,regress,4
2019,DUW1QY,regress,4
2016,L8YLCJ,logit,4
2016,DUB0MU,xtmixed,4
2016,WM6JE5,firthlogit,4
2016,WM6JE5,xtprobit,4
2016,WM6JE5,xtnbreg,4
2016,HQ1N6A,xtreg,4
2016,HQ1N6A,bootstrap:xtreg,4
2016,VVCGN3,logit,4
2016,HKOBWC,regress,4
2016,SJJ158,probit,4
2016,RCINPF,logit,4
2016,EB0BGA,regress,4
2016,CWQYIB,areg,4
2017,E40AFU,xtmixed,4
2017,K3P78R,areg,4
2017,ZUE1BI,regress,4
2017,JSDUTQ,logit,4
2017,JSDUTQ,regress,4
2017,TNWENH,nbreg,4
2017,IUJPYK,estsimp,4
2017,VAY7ZQ,impute,4
2017,AE5BPK,areg,4
2017,XAWZVS,regress,4
2015,YBMKUX,logit,3
2015,ZE3ITV,areg,3
2015,ZE3ITV,regress,3
2015,ER3D0H,ologit,3
2015,28929,mprobit,3
2015,WBBAE3,xtlogit,3
2018,D4IDA9,heckprobit,3
2018,JAOQSD,btscs,3
2018,9WNYEU,mlogit,3
2018,5JLGEL,xtreg,3
2018,ARMDLY,areg,3
2018,GS8IFM,regress,3
2018,SXG7BF,mlogit,3
2018,NMCOBF,logit,3
2018,UNWIHE,xtreg,3
2019,DWOBT4,regress,3
2019,V83FXD,rologit,3
2019,I32PHE,xtreg,3
2019,85RL5E,logit,3
2016,CSHNIS,ivreg2,3
