,2015,2016,2017,2018,2019
stata,0.4657534246575342,0.4880952380952381,0.4649122807017544,0.5241935483870968,0.4444444444444444
r,0.3013698630136986,0.27380952380952384,0.2719298245614035,0.23387096774193547,0.37037037037037035
both,0.136986301369863,0.14285714285714285,0.16666666666666666,0.1774193548387097,0.12962962962962962
neither,0.0958904109589041,0.09523809523809523,0.09649122807017543,0.06451612903225806,0.05555555555555555
