year,dataset,command,count
2016,5VJF4S,drop,29
2018,L4XKEZ,clear,28
2018,BMTO0R,ttest,28
2018,59F366,logit,28
2016,NW4LIO,replace,28
2015,MCMKKT,regress,27
2018,CTAY6U,replace,27
2018,5JS2AB,ttest,27
2018,0AX8T1,margins,27
2019,T89O95,ologit,27
2016,NW4LIO,logit,27
2017,DY1282,rename,27
2017,LTJIDX,egen,27
2018,XCLNIE,egen,26
2018,59F366,margins,26
2018,SWORPS,preserve,26
2018,SWORPS,restore,26
2018,XBWR8N,coefplot,26
2019,GZRCCJ,generate,26
2017,LTJIDX,count,26
2018,COZN1F,tabulate,25
2018,SWORPS,keep,25
2018,8AJYXZ,margins,25
2019,JXJ0ZS,generate,25
2016,SING1G,margins,25
2016,BP5G4Q,ologit,25
2017,NM7VK7,regress,25
2015,12SK8B,label,24
2018,LAYMOS,ologit,24
2018,CFEIEQ,drop,24
2018,SWORPS,label,24
2018,MT7XU0,foreach,24
2018,HMYNRV,ttest,24
2016,UYUZYA,ttesti,24
2016,BP5G4Q,estimates:store,24
2017,HRUGSI,regress,24
2017,OBGAHG,label,24
2017,9DAQH4,duncan,24
2017,9DAQH4,test,24
2018,4SIEEF,estat,23
2018,L4XKEZ,do,23
2018,59F366,generate,23
2018,MT7XU0,egen,23
2016,T5FLOH,summarize,23
2017,HRUGSI,outreg2,23
2017,HZBYG7,estimates:store,23
2015,B9OYRP,lincom,22
2018,2ZEVWT,prvalue,22
2018,H6DWAO,regress,22
2018,SVGV76,recode,22
2019,T4GBDS,regress,22
2017,DY1282,drop,22
2017,VXVBNI,summarize,22
2015,MCMKKT,test,21
2015,MCMKKT,outreg,21
2015,12SK8B,esttab,21
2018,0AX8T1,test,21
2019,YDC4XD,rename,21
2019,YKDXJL,tabulate,21
2019,BRJNBS,margins,21
2017,VXVBNI,use,21
2015,12SK8B,generate,20
2018,L4XKEZ,egen,20
2018,CFEIEQ,generate,20
2018,MS0NFV,ttesti,20
2018,O9UVFU,margins,20
2018,0AX8T1,use,20
2018,6IRW0N,oprobit,20
2019,88AACL,tabulate,20
2019,R9PGXI,esttab,20
2019,R9PGXI,eststo,20
2016,V9DNG8,regress,20
2016,V9DNG8,lincom,20
2016,MBAVJW,if,20
2017,XZJP2J,regress,20
2017,DY1282,replace,20
2017,HZBYG7,xtmixed,20
2017,UYUU9G,regress,20
2017,UYUU9G,predict,20
2017,UYUU9G,wntestq,20
2017,9DAQH4,matrix,20
2017,9DAQH4,foreach,20
2017,9DAQH4,restore,20
2015,12SK8B,margins,19
2018,59F366,estat,19
2018,2ZEVWT,generate,19
2018,O9UVFU,test,19
2018,0AX8T1,logit,19
2019,YDC4XD,estout,19
2016,D155SP,recode,19
2016,5VJF4S,global,19
2016,5VJF4S,preserve,19
2016,5VJF4S,drawnorm,19
2016,5VJF4S,postutil,19
2016,5VJF4S,postfile,19
2016,5VJF4S,while,19
2016,5VJF4S,tempname,19
2016,5VJF4S,post,19
2016,5VJF4S,postclose,19
2016,5VJF4S,restore,19
2016,5VJF4S,merge,19
2017,WKQTNZ,generate,19
2017,WYTRZC,rename,19
2017,WYTRZC,recode,19
2017,WYTRZC,regress,19
2018,CFEIEQ,replace,18
2018,QHMXAQ,svy:logit,18
2018,O9UVFU,xtlogit,18
2018,O9UVFU,replace,18
2018,SVGV76,generate,18
2018,LQQ5FE,logit,18
2018,E4I6ZV,outreg2,18
2016,SING1G,logit,18
2016,V9DNG8,rename,18
2016,V9DNG8,alpha,18
2017,WYTRZC,medeff,18
2018,L4XKEZ,log,17
2018,59F366,reshape,17
2018,59F366,graph,17
2018,QHMXAQ,generate,17
2018,LQQ5FE,prtest,17
2019,YDC4XD,generate,17
2017,XZJP2J,recode,17
2017,DY1282,egen,17
2017,LTJIDX,foreach,17
2017,C3RSF5,xtmelogit,17
2018,JC2QJ0,tabulate,16
2018,CFEIEQ,encode,16
2018,2ZEVWT,label,16
2018,QHMXAQ,margins,16
2018,ZX4HGA,ologit,16
2018,ZX4HGA,generate,16
2018,ZX4HGA,replace,16
2019,T4GBDS,rename,16
2019,8WCOCN,recode,16
2017,B3YH3T,rename,16
2017,VXVBNI,global,16
2017,VXVBNI,logit,16
2017,VXVBNI,margins,16
2017,NM7VK7,tabulate,16
2017,OBGAHG,graph,16
2015,12SK8B,replace,15
2018,4SIEEF,use,15
2018,XCLNIE,summarize,15
2018,59F366,asclogit,15
2018,59F366,ttest,15
2018,JC2QJ0,tabstat,15
2018,RYJK3W,ttest,15
2018,6FBXGL,svy:tabulate,15
2019,YKDXJL,probit,15
2019,T4GBDS,summarize,15
2019,GZRCCJ,recode,15
2016,5VJF4S,estimates:clear,15
2015,MCMKKT,local,14
2015,12SK8B,local,14
2018,CTAY6U,generate,14
2018,RYJK3W,recode,14
2018,0AX8T1,replace,14
2018,0AX8T1,summarize,14
2018,6FBXGL,margins,14
2018,EDEJND,ologit,14
2019,GZRCCJ,set,14
2019,GZRCCJ,egen,14
2016,XIPZQT,ttest,14
2016,SING1G,lincom,14
2016,EXVUEA,areg,14
2017,SHADUV,margins,14
2017,DY1282,regress,14
2017,VXVBNI,foreach,14
2017,VXVBNI,display,14
2017,UYUU9G,kpss,14
2017,9DAQH4,clear,14
2017,9DAQH4,use,14
2015,2B9T2H,medeff,13
2018,L4XKEZ,estimates:clear,13
2018,BMTO0R,generate,13
2018,PVIGW1,mixed,13
2018,SWORPS,rename,13
2018,YXGVBT,table,13
2019,JXJ0ZS,foreach,13
2019,JXJ0ZS,melogit,13
2019,GZRCCJ,estat,13
2016,T5FLOH,rename,13
2016,CEAAAT,twoway,13
2016,D155SP,graph,13
2016,BP5G4Q,replace,13
2016,EXVUEA,regress,13
2017,QZVK4B,generate,13
2017,DY1282,save,13
2015,MFJMQN,regress,12
2018,L4XKEZ,combomarginsplot,12
2018,BMTO0R,replace,12
2018,BMTO0R,count,12
2018,XCLNIE,estat,12
2018,XCLNIE,rvpplot,12
2018,LAYMOS,tabulate,12
2018,LAYMOS,mlogit,12
2018,CTAY6U,ttest,12
2018,CFEIEQ,label,12
2018,QHMXAQ,svy:regress,12
2018,RYJK3W,summarize,12
2018,H6DWAO,outreg2,12
2018,0AX8T1,estimates:restore,12
2018,6IRW0N,regress,12
2018,ZX4HGA,summarize,12
2018,XBWR8N,graph,12
2018,E4I6ZV,regress,12
2019,JXJ0ZS,forvalues,12
2019,JXJ0ZS,coefplot,12
2019,GZRCCJ,esttab,12
2016,D155SP,estimates:store,12
2016,D155SP,expand,12
2016,D155SP,estimates:restore,12
2016,D155SP,predict,12
2016,D155SP,table,12
2016,5VJF4S,logit,12
2016,NW4LIO,_pctile,12
2016,NW4LIO,return,12
2017,B3YH3T,xtreg,12
2017,DY1282,set,12
2017,DY1282,sort,12
2017,NPQ3FB,generate,12
2017,WKQTNZ,ttest,12
2017,WKQTNZ,regress,12
2017,WKQTNZ,display,12
2017,NM7VK7,tobit,12
2017,7EGFAM,tabulate,12
2017,7EGFAM,barplot,12
2017,7EGFAM,mean,12
2017,7EGFAM,parmby,12
2017,KGUTGA,ologit,12
2017,9DAQH4,log,12
2015,B9OYRP,svy:mean,11
2015,MCMKKT,drop,11
2015,MCMKKT,if,11
2015,2B9T2H,generate,11
2018,CTAY6U,label,11
2018,QHMXAQ,set,11
2018,RYJK3W,replace,11
2018,RYJK3W,margins,11
2018,O9UVFU,estimates:store,11
2018,O9UVFU,estimates:samp,11
2018,0AX8T1,label,11
2018,6FBXGL,svy:mean,11
2018,XBWR8N,summarize,11
2019,JXJ0ZS,eclplot,11
2016,5VJF4S,use,11
2016,NW4LIO,mean,11
2016,MBAVJW,replace,11
2016,MBAVJW,graph,11
2016,C5OXWN,replace,11
2016,C5OXWN,egen,11
2017,HRUGSI,rdbwselect,11
2017,LTJIDX,twoway,11
2017,LTJIDX,list,11
2017,LK5ARP,tabulate,11
2017,LK5ARP,regress,11
2017,7EGFAM,sumIDE,11
2015,12SK8B,summarize,10
2015,12SK8B,estadd,10
2018,BMTO0R,marginsplot,10
2018,BMTO0R,drop,10
2018,2ZEVWT,local,10
2018,QHMXAQ,estimates:store,10
2018,COZN1F,generate,10
2018,SWORPS,replace,10
2018,RYJK3W,ologit,10
2018,RYJK3W,tabulate,10
2018,O9UVFU,forvalues,10
2018,SVGV76,tabulate,10
2018,IJEWYV,graph,10
2018,XBWR8N,tabulate,10
2018,ISJPJN,label,10
2019,T4GBDS,graph,10
2019,USP7LQ,regress,10
2019,USP7LQ,margins,10
2019,VYGJAM,logit,10
2019,GZRCCJ,test,10
2019,BRJNBS,regress,10
2019,8WCOCN,logit,10
2016,T5FLOH,coefplot,10
2016,V9DNG8,use,10
2016,MBAVJW,summarize,10
2016,C5OXWN,graph,10
2016,BP5G4Q,simqi,10
2017,QZVK4B,local,10
2017,HRUGSI,count,10
2017,WKQTNZ,replace,10
2017,WYTRZC,generate,10
2017,7EGFAM,library,10
2017,9DAQH4,label,10
2015,MCMKKT,pwcorr,9
2015,12SK8B,egen,9
2015,2B9T2H,summarize,9
2018,URJM7O,generate,9
2018,4SIEEF,xtlogit,9
2018,4SIEEF,teffects,9
2018,PVIGW1,regress,9
2018,CFEIEQ,bitest,9
2018,SWORPS,esttab,9
2018,5JS2AB,summarize,9
2018,RYJK3W,foreach,9
2018,O9UVFU,estimates:restore,9
2018,H6DWAO,estimates:store,9
2018,0AX8T1,foreach,9
2018,6FBXGL,test,9
2018,Z0F7KO,regress,9
2018,E4I6ZV,use,9
2018,E4I6ZV,replace,9
2019,MPLQUI,margins,9
2019,JXJ0ZS,graph,9
2019,JXJ0ZS,esttab,9
2019,VYGJAM,ttest,9
2019,GZRCCJ,clear,9
2016,UYUZYA,tabulate,9
2016,D155SP,svy:mean,9
2016,D155SP,lincom,9
2016,D155SP,svy:regress,9
2016,5VJF4S,version,9
2016,5VJF4S,cd,9
2016,BP5G4Q,setx,9
2016,EXVUEA,forvalues,9
2017,XZJP2J,replace,9
2017,XZJP2J,margins,9
2017,XZJP2J,marginsplot,9
2017,DY1282,logit,9
2017,LTJIDX,graph,9
