,2015,2016,2017,2018,2019
stata,0.8333333333333334,0.5454545454545454,0.6060606060606061,0.5714285714285714,0.5217391304347826
r,0.0,0.18181818181818182,0.30303030303030304,0.2857142857142857,0.34782608695652173
both,0.0,0.13636363636363635,0.06060606060606061,0.047619047619047616,0.13043478260869565
neither,0.16666666666666666,0.13636363636363635,0.030303030303030304,0.09523809523809523,0.0
