,2014,2015,2016,2017,2018,2019
stata,0.0,0.2,0.8181818181818182,0.45454545454545453,0.6428571428571429,0.45454545454545453
r,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
both,0.0,0.1,0.09090909090909091,0.0,0.0,0.0
neither,1.0,0.7,0.09090909090909091,0.5454545454545454,0.21428571428571427,0.5454545454545454
