title,href,date,filename,file_href,error
Replication Data for: A War of (Mis)Information: The Political Effects of Rumors and Rumor Rebuttals in an Authoritarian Country,/dataset.xhtml?persistentId=doi:10.7910/DVN/ITPOOA,"Jul 27, 2015",exp1_rep.do,/file.xhtml?persistentId=doi:10.7910/DVN/ITPOOA/IZPNIH&version=1.0,404
Replication Data for: A War of (Mis)Information: The Political Effects of Rumors and Rumor Rebuttals in an Authoritarian Country,/dataset.xhtml?persistentId=doi:10.7910/DVN/ITPOOA,"Jul 27, 2015",exp2_rep.do,/file.xhtml?persistentId=doi:10.7910/DVN/ITPOOA/OFFPTT&version=1.0,404
