,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
stata,0.0,0.0,0.0,0.0,0.03333333333333333,0.13636363636363635,0.5,0.1388888888888889,0.25,0.13333333333333333,0.25
r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.041666666666666664,0.06666666666666667,0.0625
neither,1.0,1.0,1.0,1.0,0.9666666666666667,0.8636363636363636,0.5,0.8333333333333334,0.7083333333333334,0.8,0.6875
