,2014,2015,2016,2017,2018,2019
stata,0.6111111111111112,0.47058823529411764,0.5526315789473685,0.5714285714285714,0.6,0.46511627906976744
r,0.16666666666666666,0.17647058823529413,0.18421052631578946,0.11428571428571428,0.15,0.32558139534883723
both,0.05555555555555555,0.11764705882352941,0.07894736842105263,0.08571428571428572,0.2,0.09302325581395349
neither,0.16666666666666666,0.23529411764705882,0.18421052631578946,0.22857142857142856,0.05,0.11627906976744186
