,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
stata,0.631578947368421,0.6153846153846154,0.7076923076923077,0.7222222222222222,0.7769784172661871,0.646551724137931,0.6567164179104478,0.7627118644067796,0.7558139534883721,0.5952380952380952
r,0.0,0.0,0.007692307692307693,0.018518518518518517,0.0,0.04310344827586207,0.04477611940298507,0.01694915254237288,0.046511627906976744,0.023809523809523808
both,0.0,0.0,0.0,0.027777777777777776,0.02877697841726619,0.017241379310344827,0.014925373134328358,0.03389830508474576,0.05813953488372093,0.11904761904761904
neither,0.3684210526315789,0.38461538461538464,0.2846153846153846,0.23148148148148148,0.19424460431654678,0.29310344827586204,0.2835820895522388,0.1864406779661017,0.13953488372093023,0.2619047619047619
