year,dataset,command,count
2019,GJFTDC,xtreg,36
2012,BITKQY,ivreg2,36
2012,AMDL12,areg,36
2012,IYAMP5,regress,36
2012,MJCDBS,xtreg,36
2018,EHASPS,xtreg,35
2018,EHASPS,reghdfe,35
2013,RTLK44,biprobit,35
2013,AXVXMI,dprobit,35
2019,KY9AWG,regress,35
2016,GVZZVH,areg,35
2015,29908,areg,34
2018,T70TLT,regress,34
2013,HQIJNY,xtivreg2,34
2013,ARFBBO,regress,34
2012,KL5ROP,regress,34
2015,28764,regress,33
2015,KXVAUK,regress,33
2013,THGHFB,xtreg,33
2013,REST_A_00306,regress,33
2019,DPMTHY,regress,33
2016,OSJSWK,reghdfe,33
2014,24180,ivreg,32
2014,24180,xtivreg2,32
2014,24180,intreg,32
2014,25493,xtreg,32
2014,24203,xtreg,32
2018,WSHXJR,regress,32
2018,DX6YLE,svy:regress,32
2011,NHONSD,outreg,32
2013,FKW5PP,areg,32
2017,GHXA9H,ivreg2,32
2017,ID6SYF,nl,32
2017,FPJHJ2,regress,32
2014,26865,dprobit,31
2014,14574,regress,31
2014,24223,nbreg,31
2018,5JWBXU,ivreg2,31
2011,MX5TD1,regress,31
2019,UUPZ6Z,regress,31
2017,Z1WVWW,areg,31
2014,27700,areg,30
2014,27059,areg,30
2013,7XP4A7,ivreg,30
2013,QKCHYM,areg,30
2017,RA1WEY,areg,30
2017,LK86SC,mixed,30
2014,24588,areg,29
2014,24196,regress,29
2010,OYARM2,ivreg,29
2013,AW2UQU,regress,29
2013,JJGI1G,ivreg,29
2013,23576,regress,29
2014,27828,regress,28
2014,27070,svy:regress,28
2014,27802,areg,28
2014,27842,regress,28
2010,5TNQIV,probit,28
2018,V65YUM,areg,28
2018,EHASPS,regress,28
2011,M8FCSU,outreg,28
2013,GDJZ08,regress,28
2013,FGLKNE,xtreg,28
2012,5NWRNW,xtreg,28
2016,U6KFOC,heckman,28
2017,JXQETW,reg2hdfe,28
2014,25293,regress,27
2014,27070,regress,27
2014,28390,regress,27
2015,27461,ivreg2,27
2018,ETS5LV,ols_spatial_HAC,27
2018,G1JEV3,qreg,27
2018,RJ7VUQ,regress,27
2013,X8C3CO,xtreg,27
2012,8WEXYD,regress,27
2012,GCBK24,regress,27
2016,RQOCKS,xtreg,27
2017,2DO8QP,rd,27
2017,FFPAXW,regress,27
2014,REST_A_00357,ivreg,26
2015,V9DYKW,areg,26
2018,DMJREU,areg,26
2018,TNGJ6E,regress,26
2018,TNGJ6E,areg,26
2011,X9F0JG,ivreg,26
2011,M8FCSU,ivreg2,26
2013,RHHG2B,nl,26
2013,WF8YEM,regress,26
2019,KEIMA9,probit,26
2017,SS0AA5,ivreg2,26
2014,27409,regress,25
2014,28235,regress,25
2014,26908,regress,25
2014,26895,xtivreg2,25
2018,DHZUOT,regress,25
2018,RCZN4X,regress,25
2013,22812,areg,25
2013,T0Q9KP,regress,25
2013,NNGPMJ,areg,25
2012,MTQDUN,regress,25
2012,Y9R8SF,areg,25
2012,EUKMBF,var,25
2012,EUKMBF,vargranger,25
2012,8PX4XD,regress,25
2012,TUXWCQ,regress,25
2014,24180,ivtobit,24
2014,27431,svy:regress,24
2014,24349,regress,24
2014,27174,regress,24
2014,27174,ivreg,24
2014,26565,glm,24
2014,26894,mleval,24
2010,BDZMNG,xtreg,24
2015,28522,ivregress,24
2015,28802,regress,24
2015,27831,qreg,24
2015,26754,ivregress,24
2018,GUMVSS,areg,24
2012,GPZAMC,regress,24
2012,BPUZG1,xtnbreg,24
2012,AWBBBD,xtreg,24
2012,5NWRNW,ivregress,24
2016,CP3FYH,xtreg,24
2017,FFPAXW,areg,24
2015,28817,xtivreg2,23
2015,28817,ivreg2,23
2015,28817,regress,23
2018,GL5CCD,regress,23
2018,DX6YLE,ivregress,23
2013,FDYBSG,areg,23
2012,RR4AYC,regress,23
2012,HSLWDN,areg,23
2016,HNLHPG,ivregress,23
2014,27555,regress,22
2015,29557,regress,22
2015,29224,xtreg,22
2013,FGLKNE,regress,22
2019,KRUVIQ,regress,22
2012,MKRDC0,areg,22
2012,MOTPKF,xtreg,22
2017,SS0AA5,reg3,22
2017,PODEN5,logit,22
2014,26093,streg,21
2018,V65YUM,regress,21
2018,STFNPY,xtivreg,21
2018,PIAZWN,regress,21
2018,Q99FI0,regress,21
2011,NHONSD,regress,21
2019,YUI2BC,ivregress,21
2012,XS4UKI,regress,21
2016,7YJE1Z,regress,21
2016,XSYPO2,regress,21
2016,3EYP3I,reg2hdfe,21
2014,26906,regress,20
2014,27514,xtabond2,20
2014,26903,spreg,20
2010,OYARM2,regress,20
2015,67QCH2,nl,20
2015,9NOYOV,areg,20
2018,YGTU5T,xtivreg2,20
2018,DS1JYM,regress,20
2013,LK5Z6Z,regress,20
2019,7BCE4A,regress,20
2019,A4QA9I,regress,20
2012,BITKQY,regress,20
2012,YWGKFQ,areg,20
2012,FMPXWB,regress,20
2012,A9Y8QA,areg,20
2016,Y1VFA8,xtreg,20
2016,72C3NP,logit,20
2016,XKHMUZ,ivregress,20
2016,FR9JMK,regress,20
2016,XSYPO2,ivregress,20
2017,WCS9PO,xtreg,20
2014,27409,ivreg2,19
2014,00234,regress,19
2015,XJI9LO,areg,19
2015,28522,regress,19
2015,28100,xtivreg2,19
2015,26800,probit,19
2018,VV5I5E,regress,19
2011,L4DUZ7,xtreg,19
2013,HQIJNY,areg,19
2013,QKCHYM,ologit,19
2012,HVX2YP,probit,19
2012,1AJV3A,xtreg,19
2012,EPF255,outreg,19
2014,27700,regress,18
2014,26069,xtivreg2,18
2014,24076,ivreg2,18
2015,27304,regress,18
2015,28775,logit,18
2018,Z3EESV,ivregress,18
2018,ETS5LV,reg2hdfespatial,18
2013,NBEKXN,probit,18
2013,DLHBZR,regress,18
2013,23985,ivregress,18
2012,NJCEDK,regress,18
2012,NJCEDK,glm,18
2012,CGCSIU,outreg,18
2017,2DO8QP,regress,18
2017,KKGA79,xtpoisson,18
2017,FPJHJ2,ivreg2,18
2014,25020,regress,17
2014,27117,regress,17
2015,MVFMLB,regress,17
2018,GVOBTP,regress,17
2018,DMJREU,reghdfe,17
2018,9C4TPV,areg,17
2018,F26FNK,regress,17
2013,CAGFVL,areg,17
2013,GIFITM,regress,17
2016,XKHMUZ,regress,17
2016,3EYP3I,regress,17
2017,GEI4YW,areg,17
2017,PODEN5,reghdfe,17
2014,22817,heckman,16
2014,27312,areg,16
2015,27042,areg,16
2015,27831,regress,16
2015,26754,ivreg2,16
2018,V65YUM,ivreg2,16
2018,5A69IZ,regress,16
2018,BHIUHV,xtivreg2,16
2013,RHHG2B,regress,16
2013,KNTTQB,heckman,16
