,2013,2014,2015,2016,2017,2018,2019
stata,0.0,0.0,0.5119617224880383,0.42105263157894735,0.35,0.3584905660377358,0.2962962962962963
r,1.0,0.0,0.21052631578947367,0.21052631578947367,0.3,0.33962264150943394,0.4444444444444444
both,0.0,0.6666666666666666,0.11004784688995216,0.23684210526315788,0.25,0.18867924528301888,0.1111111111111111
neither,0.0,0.3333333333333333,0.1674641148325359,0.13157894736842105,0.1,0.11320754716981132,0.14814814814814814
