,2013,2014,2015,2016,2017,2018,2019
stata,0.25,0.3333333333333333,0.4,0.4666666666666667,0.6923076923076923,0.6071428571428571,0.7142857142857143
r,0.5,0.0,0.04,0.2,0.07692307692307693,0.17857142857142858,0.14285714285714285
both,0.0,0.0,0.04,0.13333333333333333,0.15384615384615385,0.10714285714285714,0.14285714285714285
neither,0.25,0.6666666666666666,0.52,0.2,0.07692307692307693,0.10714285714285714,0.0
