,2013,2014,2015,2016,2017,2018,2019
stata,0.6,0.5,0.3783783783783784,0.43037974683544306,0.39473684210526316,0.23529411764705882,0.2608695652173913
r,0.2,0.2857142857142857,0.2972972972972973,0.21518987341772153,0.23684210526315788,0.5098039215686274,0.4782608695652174
both,0.0,0.07142857142857142,0.2702702702702703,0.20253164556962025,0.07894736842105263,0.13725490196078433,0.21739130434782608
neither,0.2,0.14285714285714285,0.05405405405405406,0.1518987341772152,0.2894736842105263,0.11764705882352941,0.043478260869565216
